"key","institutionCode","species","occurrenceStatus","eventDate","year","month","day","decimalLongitude","decimalLatitude","elevation","identificationVerificationStatus","identifier","datasetKey","provider"
"4547350257","UAR PatriNat","Lutra lutra","PRESENT","2021-07-28",2021,7,28,3.75952,43.90043,NA,"Probable","8b014cfa-f113-41eb-af7e-041006628199","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4592793307","UAR PatriNat","Lutra lutra","PRESENT","2021-07-28",2021,7,28,3.68384,43.84187,125,"Probable","8b014cfa-f113-41eb-af7e-041006628199","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4592793526","UAR PatriNat","Lutra lutra","PRESENT","2021-07-18",2021,7,18,3.31183,44.02356,545,"Probable","7a6dc9fb-e7ac-41eb-9207-041006598b38","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4087594374","UAR PatriNat","Lutra lutra","PRESENT","2021-08-25",2021,8,25,4.32971,43.54342,5,"Probable","29cee0d6-1ef6-4313-bfa3-cc75be6a929d","2ad3a5c7-3399-434e-a8ab-c4fe62f9f3af","UAR PatriNat - 2022_LPO PACA_7"
"4546289078","UAR PatriNat","Lutra lutra","PRESENT","2021-08-19",2021,8,19,4.12677,44.01963,NA,"Probable","3f122fe4-010d-41ec-95be-0410066a6f6e","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4592793471","UAR PatriNat","Lutra lutra","PRESENT","2021-08-19",2021,8,19,4.18486,44.01759,87,"Probable","3f122fe4-010d-41ec-95be-0410066a6f6e","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4545867426","UAR PatriNat","Lutra lutra","PRESENT","2021-09-23",2021,9,23,4.00465,43.59316,NA,"Probable","1fd3de8d-2122-41ec-9cbe-0190005f1d8f","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4546074090","UAR PatriNat","Lutra lutra","PRESENT","2021-09-05",2021,9,5,3.77396,43.78778,NA,"Probable","2fafd01b-0e86-41ec-95be-041006726b76","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4552965962","UAR PatriNat","Lutra lutra","PRESENT","2021-09-11",2021,9,11,3.73222,43.98858,NA,"Probable","32a8d1a4-1400-41ec-9cbe-04100675766b","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4592793489","UAR PatriNat","Lutra lutra","PRESENT","2021-09-05",2021,9,5,3.8069,43.75103,203,"Probable","2fafd01b-0e86-41ec-95be-041006726b76","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4592793498","UAR PatriNat","Lutra lutra","PRESENT","2021-09-11",2021,9,11,3.686,44.02185,242,"Probable","32a8d1a4-1400-41ec-9cbe-04100675766b","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4592793543","UAR PatriNat","Lutra lutra","PRESENT","2021-09-23",2021,9,23,4.05184,43.56897,7,"Non réalisable","1fd3de8d-2122-41ec-9cbe-0190005f1d8f","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"3939941702","UAR PatriNat","Lutra lutra","PRESENT","2021-10-23",2021,10,23,3.29597,43.55556,NA,"Probable","83808980-cb5c-421b-a5b3-5351bbd6b993","7d95137d-4dbe-41ff-9569-a890c84abd6b","UAR PatriNat - opportunistic data SICEN Occitanie"
"4046326453","iNaturalist","Lutra lutra","PRESENT","2021-10-19T16:35:46",2021,10,19,3.862508,43.960929,NA,NA,"107142999","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations"
"4046821414","UAR PatriNat","Lutra lutra","PRESENT","2021-10-25",2021,10,25,3.32184,43.73235,208,"Probable","CF30ADBD-CFC7-0669-E053-0514A8C03D94","240e848b-47bc-40a3-a44c-6e745901d2d0","UAR PatriNat - CardObs"
"4550807724","UAR PatriNat","Lutra lutra","PRESENT","2021-10-10",2021,10,10,3.62507,43.98896,NA,"Probable","ec3d4a18-2aa2-41ec-9cbe-04100680fa99","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4555090797","UAR PatriNat","Lutra lutra","PRESENT","2021-10-26",2021,10,26,3.68481,43.96251,NA,"Probable","781b55d6-3b04-41ec-b9ac-0410068a4d28","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4588197301","UAR PatriNat","Lutra lutra","PRESENT","2021-10-26",2021,10,26,3.68831,43.94277,NA,"Probable","51220279-3f29-4508-b88a-b3bd8413c5fa","3ae9f5c3-0196-4c9d-a2d5-2cceb3a9f2ae","UAR PatriNat - Cosmi Julien"
"4592793500","UAR PatriNat","Lutra lutra","PRESENT","2021-10-10",2021,10,10,3.56128,44.02256,220,"Probable","ec3d4a18-2aa2-41ec-9cbe-04100680fa99","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4547337071","UAR PatriNat","Lutra lutra","PRESENT","2021-11-14",2021,11,14,3.95496,43.93737,NA,"Probable","8cabfe0d-4544-41ec-87de-019000606e21","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4550188675","UAR PatriNat","Lutra lutra","PRESENT","2021-11-04",2021,11,4,3.99711,43.91833,NA,"Probable","dce8f1d7-3d66-41ec-b9ac-0190006028be","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4586755309","UAR PatriNat","Lutra lutra","PRESENT","2021-11-29",2021,11,29,3.52701,43.85643,NA,"Probable","804f2fe9-201b-4e7a-beed-d78e8c22bfdc","7249e238-802e-4295-a218-c2845a7c020f","UAR PatriNat - GCLR, Antonin WILMART"
"4586755686","UAR PatriNat","Lutra lutra","PRESENT","2021-11-28",2021,11,28,3.52701,43.85643,NA,"Probable","d1020416-53d8-41b6-a7aa-c3d37002aa0e","7249e238-802e-4295-a218-c2845a7c020f","UAR PatriNat - GCLR, Antonin WILMART"
"4592793629","UAR PatriNat","Lutra lutra","PRESENT","2021-11-14",2021,11,14,3.93396,43.93001,90,"Probable","8cabfe0d-4544-41ec-87de-019000606e21","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"3456660648","iNaturalist","Lutra lutra","PRESENT","2021-12-30T16:00:04",2021,12,30,3.726582,43.915727,NA,NA,"104593051","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations"
"4558153938","UAR PatriNat","Lutra lutra","PRESENT","2021-12-12",2021,12,12,3.29976,43.55468,NA,"Probable","e035d45f-5b4c-41ec-bc8b-041006a01d39","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4586755316","UAR PatriNat","Lutra lutra","PRESENT","2021-12-13",2021,12,13,3.52701,43.85643,NA,"Probable","ded88481-ad4c-4239-bff0-1d47c8be4b01","7249e238-802e-4295-a218-c2845a7c020f","UAR PatriNat - GCLR, Antonin WILMART"
"4586755521","UAR PatriNat","Lutra lutra","PRESENT","2021-12-10",2021,12,10,3.52701,43.85643,NA,"Probable","2c0c0d3f-5f43-47c0-92a3-f48ceeeb796f","7249e238-802e-4295-a218-c2845a7c020f","UAR PatriNat - GCLR, Antonin WILMART"
"4586755566","UAR PatriNat","Lutra lutra","PRESENT","2021-12-08",2021,12,8,3.52701,43.85643,NA,"Probable","b63f8f69-aac1-4e03-9d88-46ec6abd1f71","7249e238-802e-4295-a218-c2845a7c020f","UAR PatriNat - GCLR, Antonin WILMART"
"4586755582","UAR PatriNat","Lutra lutra","PRESENT","2021-12-01",2021,12,1,3.52701,43.85643,NA,"Probable","925a4629-ed5d-43d7-9d2e-2df9e9d79f9a","7249e238-802e-4295-a218-c2845a7c020f","UAR PatriNat - GCLR, Antonin WILMART"
"4592793467","UAR PatriNat","Lutra lutra","PRESENT","2021-12-12",2021,12,12,3.30938,43.57362,142,"Probable","e035d45f-5b4c-41ec-bc8b-041006a01d39","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
